Species,Sample_Order,E_WO_OL,R_RostrumLength_OL,S_SulcusArea_TotalArea
E. areolatus,1,0.523647917,0.236677738,0.259299781
E. areolatus,2,0.433064771,0.114007626,0.229928006
E. areolatus,3,0.410954244,0.140083504,0.211692731
E. areolatus,4,0.526785098,0.141811994,0.218981687
E. areolatus,5,0.500594039,0.157966026,0.22882977
E. areolatus,6,0.409092314,0.122583948,0.231252435
E. areolatus,7,0.479187156,0.130811721,0.206051926
E. areolatus,8,0.460704787,0.175527225,0.213335648
E. areolatus,9,0.464449061,0.114978835,0.238024155
E. areolatus,10,0.503943046,0.135906657,0.212749044
E. coioides,11,0.454616197,0.243107665,0.24317239
E. coioides,12,0.503386289,0.17563673,0.250121874
E. coioides,13,0.467465647,0.193651682,0.240928272
E. coioides,14,0.433510769,0.135582671,0.226103872
E. stoliczkae,15,0.425749472,0.142333149,0.250303781
E. stoliczkae,16,0.506520929,0.156481596,0.217322225
